DGP,Simulation,algorithm,time
3,9,Krls:cross,0.0399999999999636
3,9,SL:cross,2.48199999999997
3,9,Krls:ps,0.00799999999998136
3,9,SL:ps,2.91499999999996
3,9,Krls:pps,0.0180000000000291
3,9,SL:pps,2.24400000000003
3,9,Bal:SL:ps,0
3,9,Bal:SL:Yd,0.000999999999976353
3,9,Bal:SL:pps,0.000999999999976353
3,10,Krls:single,0.00900000000001455
3,10,SL:single,2.97800000000001
3,10,Krls:cross,0.0389999999999873
3,10,SL:cross,2.46300000000002
3,10,Krls:ps,0.0040000000000191
3,10,SL:ps,2.86899999999997
3,10,Krls:pps,0.0169999999999959
3,10,SL:pps,1.67600000000004
3,10,Bal:SL:ps,0
3,10,Bal:SL:Yd,0
3,10,Bal:SL:pps,0.000999999999976353
4,1,Krls:single,0.0180000000000291
4,1,SL:single,3.09700000000004
4,1,Krls:cross,0.0300000000000296
4,1,SL:cross,2.03499999999997
4,1,Krls:ps,0.0109999999999673
4,1,SL:ps,2.72199999999998
4,1,Krls:pps,0.00599999999997181
4,1,SL:pps,2.04400000000004
4,1,Bal:SL:ps,0.0010000000000332
4,1,Bal:SL:Yd,0
4,1,Bal:SL:pps,0.000999999999976353
4,2,Krls:single,0.00599999999997181
4,2,SL:single,3.11599999999999
4,2,Krls:cross,0.0419999999999732
4,2,SL:cross,2.02299999999997
4,2,Krls:ps,0.0240000000000009
4,2,SL:ps,2.72300000000001
4,2,Krls:pps,0.0220000000000482
4,2,SL:pps,2.19999999999999
4,2,Bal:SL:ps,0.0010000000000332
4,2,Bal:SL:Yd,0
4,2,Bal:SL:pps,0.0010000000000332
4,3,Krls:single,0.007000000000005
4,3,SL:single,3.05099999999999
4,3,Krls:cross,0.0400000000000205
4,3,SL:cross,1.96100000000001
4,3,Krls:ps,0.02800000000002
4,3,SL:ps,2.63100000000003
4,3,Krls:pps,0.00799999999998136
4,3,SL:pps,2.03300000000002
4,3,Bal:SL:ps,0
4,3,Bal:SL:Yd,0
4,3,Bal:SL:pps,0.000999999999976353
4,4,Krls:single,0.00499999999999545
4,4,SL:single,2.98099999999999
4,4,Krls:cross,0.0289999999999964
4,4,SL:cross,1.96000000000004
4,4,Krls:ps,0.00900000000001455
4,4,SL:ps,2.67000000000002
4,4,Krls:pps,0.0129999999999768
4,4,SL:pps,2.31
4,4,Bal:SL:ps,0
4,4,Bal:SL:Yd,0
4,4,Bal:SL:pps,0.0010000000000332
4,5,Krls:single,0.00899999999995771
4,5,SL:single,2.96799999999996
4,5,Krls:cross,0.0409999999999968
4,5,SL:cross,1.98099999999999
4,5,Krls:ps,0.0199999999999818
4,5,SL:ps,2.733
4,5,Krls:pps,0.00900000000001455
4,5,SL:pps,1.91699999999997
4,5,Bal:SL:ps,0
4,5,Bal:SL:Yd,0
4,5,Bal:SL:pps,0
4,6,Krls:single,0.00499999999999545
4,6,SL:single,
4,6,Krls:cross,0.0389999999999873
4,6,SL:cross,
4,6,Krls:ps,
4,6,SL:ps,
4,6,Krls:pps,
4,6,SL:pps,
4,6,Bal:SL:ps,
4,6,Bal:SL:Yd,
4,6,Bal:SL:pps,
4,7,Krls:single,
4,7,SL:single,
4,7,Krls:cross,
4,7,SL:cross,
4,7,Krls:ps,
4,7,SL:ps,
4,7,Krls:pps,
4,7,SL:pps,
4,7,Bal:SL:ps,
4,7,Bal:SL:Yd,
4,7,Bal:SL:pps,
4,8,Krls:single,
4,8,SL:single,
4,8,Krls:cross,
4,8,SL:cross,
4,8,Krls:ps,
4,8,SL:ps,
4,8,Krls:pps,
4,8,SL:pps,
4,8,Bal:SL:ps,
4,8,Bal:SL:Yd,
4,8,Bal:SL:pps,
4,9,Krls:single,
4,9,SL:single,
4,9,Krls:cross,
4,9,SL:cross,
4,9,Krls:ps,
4,9,SL:ps,
4,9,Krls:pps,
4,9,SL:pps,
4,9,Bal:SL:ps,
4,9,Bal:SL:Yd,
4,9,Bal:SL:pps,
4,10,Krls:single,
4,10,SL:single,
4,10,Krls:cross,
4,10,SL:cross,
4,10,Krls:ps,
4,10,SL:ps,
4,10,Krls:pps,
4,10,SL:pps,
4,10,Bal:SL:ps,
4,10,Bal:SL:Yd,
4,10,Bal:SL:pps,
5,1,Krls:single,0.075999999999965
5,1,SL:single,3.42900000000003
5,1,Krls:cross,0.0699999999999932
5,1,SL:cross,2.04499999999996
5,1,Krls:ps,0.0169999999999959
5,1,SL:ps,2.88600000000002
5,1,Krls:pps,0.0130000000000337
5,1,SL:pps,2.10000000000002
5,1,Bal:SL:ps,0.000999999999976353
5,1,Bal:SL:Yd,0
5,1,Bal:SL:pps,0.000999999999976353
5,2,Krls:single,0.0050000000000523
5,2,SL:single,2.935
5,2,Krls:cross,0.0430000000000064
5,2,SL:cross,2.06099999999998
5,2,Krls:ps,0.00900000000001455
5,2,SL:ps,2.71600000000001
5,2,Krls:pps,0.0259999999999536
5,2,SL:pps,1.86900000000003
5,2,Bal:SL:ps,0
5,2,Bal:SL:Yd,0.000999999999976353
5,2,Bal:SL:pps,0.00199999999995271
5,3,Krls:single,0.0110000000000241
5,3,SL:single,3.06200000000001
5,3,Krls:cross,0.0419999999999732
5,3,SL:cross,1.95999999999998
5,3,Krls:ps,0.0040000000000191
5,3,SL:ps,2.726
5,3,Krls:pps,0.0110000000000241
5,3,SL:pps,2.15200000000004
5,3,Bal:SL:ps,0.000999999999976353
5,3,Bal:SL:Yd,0
5,3,Bal:SL:pps,0.0010000000000332
5,4,Krls:single,0.00899999999995771
5,4,SL:single,2.964
5,4,Krls:cross,0.0430000000000064
5,4,SL:cross,1.95100000000002
5,4,Krls:ps,0.00499999999999545
5,4,SL:ps,2.55100000000004
5,4,Krls:pps,0.0109999999999673
5,4,SL:pps,2.05099999999999
5,4,Bal:SL:ps,0
5,4,Bal:SL:Yd,0
5,4,Bal:SL:pps,0
5,5,Krls:single,0.00300000000004275
5,5,SL:single,3.06200000000001
5,5,Krls:cross,0.0319999999999823
5,5,SL:cross,2.303
5,5,Krls:ps,0.0190000000000055
5,5,SL:ps,2.82499999999999
5,5,Krls:pps,0.0129999999999768
5,5,SL:pps,1.89400000000001
5,5,Bal:SL:ps,0.000999999999976353
5,5,Bal:SL:Yd,0
5,5,Bal:SL:pps,0.000999999999976353
5,6,Krls:single,
5,6,SL:single,
5,6,Krls:cross,
5,6,SL:cross,
5,6,Krls:ps,
5,6,SL:ps,
5,6,Krls:pps,
5,6,SL:pps,
5,6,Bal:SL:ps,
5,6,Bal:SL:Yd,
5,6,Bal:SL:pps,
5,7,Krls:single,
5,7,SL:single,
5,7,Krls:cross,
5,7,SL:cross,
5,7,Krls:ps,
5,7,SL:ps,
5,7,Krls:pps,
5,7,SL:pps,
5,7,Bal:SL:ps,
5,7,Bal:SL:Yd,
5,7,Bal:SL:pps,
5,8,Krls:single,
5,8,SL:single,
5,8,Krls:cross,
5,8,SL:cross,
5,8,Krls:ps,
5,8,SL:ps,
5,8,Krls:pps,
5,8,SL:pps,
5,8,Bal:SL:ps,
5,8,Bal:SL:Yd,
5,8,Bal:SL:pps,
5,9,Krls:single,
5,9,SL:single,
5,9,Krls:cross,
5,9,SL:cross,
5,9,Krls:ps,
5,9,SL:ps,
5,9,Krls:pps,
5,9,SL:pps,
5,9,Bal:SL:ps,
5,9,Bal:SL:Yd,
5,9,Bal:SL:pps,
5,10,Krls:single,
5,10,SL:single,
5,10,Krls:cross,
5,10,SL:cross,
5,10,Krls:ps,
5,10,SL:ps,
5,10,Krls:pps,
5,10,SL:pps,
5,10,Bal:SL:ps,
5,10,Bal:SL:Yd,
5,10,Bal:SL:pps,
6,1,Krls:single,0.01400000000001
6,1,SL:single,2.91700000000003
6,1,Krls:cross,0.0470000000000255
6,1,SL:cross,2.32900000000001
6,1,Krls:ps,0.0159999999999627
6,1,SL:ps,2.60599999999999
6,1,Krls:pps,0.00299999999992906
6,1,SL:pps,2.04200000000003
6,1,Bal:SL:ps,0.000999999999976353
6,1,Bal:SL:Yd,0
6,1,Bal:SL:pps,0.000999999999976353
6,2,Krls:single,0.00200000000006639
6,2,SL:single,2.89099999999996
6,2,Krls:cross,0.0399999999999636
6,2,SL:cross,2.02499999999998
6,2,Krls:ps,0.00699999999994816
6,2,SL:ps,2.54700000000003
6,2,Krls:pps,0.0100000000001046
6,2,SL:pps,1.72500000000002
6,2,Bal:SL:ps,0.000999999999976353
6,2,Bal:SL:Yd,0.000999999999976353
6,2,Bal:SL:pps,0.000999999999976353
6,3,Krls:single,0.0120000000000573
6,3,SL:single,2.92100000000005
6,3,Krls:cross,0.0389999999999873
6,3,SL:cross,1.87900000000002
6,3,Krls:ps,0.00999999999999091
6,3,SL:ps,2.49399999999991
6,3,Krls:pps,0.0040000000000191
6,3,SL:pps,2.22199999999998
6,3,Bal:SL:ps,0
6,3,Bal:SL:Yd,0
6,3,Bal:SL:pps,0.000999999999976353
6,4,Krls:single,0.00499999999999545
6,4,SL:single,2.822
6,4,Krls:cross,0.0389999999999873
6,4,SL:cross,2.34000000000003
6,4,Krls:ps,0.00599999999997181
6,4,SL:ps,2.70799999999997
6,4,Krls:pps,0.01299999999992
6,4,SL:pps,2.01599999999996
6,4,Bal:SL:ps,0.000999999999976353
6,4,Bal:SL:Yd,0.000999999999976353
6,4,Bal:SL:pps,0.00200000000006639
6,5,Krls:single,0.0109999999999673
6,5,SL:single,2.87699999999995
6,5,Krls:cross,0.0410000000000537
6,5,SL:cross,1.96399999999994
6,5,Krls:ps,0.0159999999999627
6,5,SL:ps,2.59400000000005
6,5,Krls:pps,0.00299999999992906
6,5,SL:pps,2.096
6,5,Bal:SL:ps,0
6,5,Bal:SL:Yd,0
6,5,Bal:SL:pps,0
6,6,Krls:single,
6,6,SL:single,
6,6,Krls:cross,
6,6,SL:cross,
6,6,Krls:ps,
6,6,SL:ps,
6,6,Krls:pps,
6,6,SL:pps,
6,6,Bal:SL:ps,
6,6,Bal:SL:Yd,
6,6,Bal:SL:pps,
6,7,Krls:single,
6,7,SL:single,
6,7,Krls:cross,
6,7,SL:cross,
6,7,Krls:ps,
6,7,SL:ps,
6,7,Krls:pps,
6,7,SL:pps,
6,7,Bal:SL:ps,
6,7,Bal:SL:Yd,
6,7,Bal:SL:pps,
6,8,Krls:single,
6,8,SL:single,
6,8,Krls:cross,
6,8,SL:cross,
6,8,Krls:ps,
6,8,SL:ps,
6,8,Krls:pps,
6,8,SL:pps,
6,8,Bal:SL:ps,
6,8,Bal:SL:Yd,
6,8,Bal:SL:pps,
6,9,Krls:single,
6,9,SL:single,
6,9,Krls:cross,
6,9,SL:cross,
6,9,Krls:ps,
6,9,SL:ps,
6,9,Krls:pps,
6,9,SL:pps,
6,9,Bal:SL:ps,
6,9,Bal:SL:Yd,
6,9,Bal:SL:pps,
6,10,Krls:single,
6,10,SL:single,
6,10,Krls:cross,
6,10,SL:cross,
6,10,Krls:ps,
6,10,SL:ps,
6,10,Krls:pps,
6,10,SL:pps,
6,10,Bal:SL:ps,
6,10,Bal:SL:Yd,
6,10,Bal:SL:pps,
7,1,Krls:single,0.0150000000001
7,1,SL:single,2.85199999999998
7,1,Krls:cross,0.0389999999999873
7,1,SL:cross,1.98399999999992
7,1,Krls:ps,0.00999999999999091
7,1,SL:ps,2.70800000000008
7,1,Krls:pps,0.00900000000001455
7,1,SL:pps,1.76700000000005
7,1,Bal:SL:ps,0.00100000000009004
7,1,Bal:SL:Yd,0
7,1,Bal:SL:pps,0.000999999999976353
7,2,Krls:single,0.00799999999992451
7,2,SL:single,2.97000000000003
7,2,Krls:cross,0.0379999999998972
7,2,SL:cross,1.92399999999998
7,2,Krls:ps,0.00600000000008549
7,2,SL:ps,2.57399999999996
7,2,Krls:pps,0.0080000000000382
7,2,SL:pps,2.10599999999999
7,2,Bal:SL:ps,0
7,2,Bal:SL:Yd,0
7,2,Bal:SL:pps,0.000999999999976353
7,3,Krls:single,0.00699999999994816
7,3,SL:single,2.99700000000007
7,3,Krls:cross,0.0399999999999636
7,3,SL:cross,2.01900000000001
7,3,Krls:ps,0.0120000000000573
7,3,SL:ps,2.65300000000002
7,3,Krls:pps,0.000999999999976353
7,3,SL:pps,1.846
7,3,Bal:SL:ps,0.000999999999976353
7,3,Bal:SL:Yd,0
7,3,Bal:SL:pps,0.00100000000009004
7,4,Krls:single,0.0040000000000191
7,4,SL:single,2.94400000000007
7,4,Krls:cross,0.0410000000000537
7,4,SL:cross,2.476
7,4,Krls:ps,0.0080000000000382
7,4,SL:ps,2.68200000000002
7,4,Krls:pps,0.0119999999999436
7,4,SL:pps,1.80500000000006
7,4,Bal:SL:ps,0
7,4,Bal:SL:Yd,0
7,4,Bal:SL:pps,0.000999999999976353
7,5,Krls:single,0.00499999999999545
7,5,SL:single,2.947
7,5,Krls:cross,0.0310000000000628
7,5,SL:cross,2.31999999999994
7,5,Krls:ps,0.0120000000000573
7,5,SL:ps,2.87099999999998
7,5,Krls:pps,0.0149999999999864
7,5,SL:pps,2.11099999999999
7,5,Bal:SL:ps,0.000999999999976353
7,5,Bal:SL:Yd,0
7,5,Bal:SL:pps,0.00199999999995271
7,6,Krls:single,
7,6,SL:single,
7,6,Krls:cross,
7,6,SL:cross,
7,6,Krls:ps,
7,6,SL:ps,
7,6,Krls:pps,
7,6,SL:pps,
7,6,Bal:SL:ps,
7,6,Bal:SL:Yd,
7,6,Bal:SL:pps,
7,7,Krls:single,
7,7,SL:single,
7,7,Krls:cross,
7,7,SL:cross,
7,7,Krls:ps,
7,7,SL:ps,
7,7,Krls:pps,
7,7,SL:pps,
7,7,Bal:SL:ps,
7,7,Bal:SL:Yd,
7,7,Bal:SL:pps,
7,8,Krls:single,
7,8,SL:single,
7,8,Krls:cross,
7,8,SL:cross,
7,8,Krls:ps,
7,8,SL:ps,
7,8,Krls:pps,
7,8,SL:pps,
7,8,Bal:SL:ps,
7,8,Bal:SL:Yd,
7,8,Bal:SL:pps,
7,9,Krls:single,
7,9,SL:single,
7,9,Krls:cross,
7,9,SL:cross,
7,9,Krls:ps,
7,9,SL:ps,
7,9,Krls:pps,
7,9,SL:pps,
7,9,Bal:SL:ps,
7,9,Bal:SL:Yd,
7,9,Bal:SL:pps,
7,10,Krls:single,
7,10,SL:single,
7,10,Krls:cross,
7,10,SL:cross,
7,10,Krls:ps,
7,10,SL:ps,
7,10,Krls:pps,
